ndv,method,run,time_ms
10,plain,1,13.000
10,plain,2,8.000
10,plain,3,9.000
10,plain,4,8.000
10,plain,5,9.000
10,sketch,1,32.000
10,sketch,2,6.000
10,sketch,3,6.000
10,sketch,4,5.000
10,sketch,5,5.000
10,cubit,1,25.000
10,cubit,2,5.000
10,cubit,3,5.000
10,cubit,4,6.000
10,cubit,5,5.000
10,rabit,1,26.000
10,rabit,2,10.000
10,rabit,3,9.000
10,rabit,4,9.000
10,rabit,5,10.000
100,plain,1,12.000
100,plain,2,11.000
100,plain,3,10.000
100,plain,4,11.000
100,plain,5,11.000
100,sketch,1,21.000
100,sketch,2,6.000
100,sketch,3,8.000
100,sketch,4,5.000
100,sketch,5,5.000
100,cubit,1,55.000
100,cubit,2,9.000
100,cubit,3,8.000
100,cubit,4,8.000
100,cubit,5,8.000
100,rabit,1,27.000
100,rabit,2,11.000
100,rabit,3,9.000
100,rabit,4,11.000
100,rabit,5,10.000
1000,plain,1,13.000
1000,plain,2,12.000
1000,plain,3,12.000
1000,plain,4,11.000
1000,plain,5,11.000
1000,sketch,1,24.000
1000,sketch,2,8.000
1000,sketch,3,8.000
1000,sketch,4,9.000
1000,sketch,5,7.000
1000,cubit,1,49.000
1000,cubit,2,10.000
1000,cubit,3,11.000
1000,cubit,4,11.000
1000,cubit,5,10.000
1000,rabit,1,25.000
1000,rabit,2,10.000
1000,rabit,3,9.000
1000,rabit,4,9.000
1000,rabit,5,9.000
10000,plain,1,12.000
10000,plain,2,10.000
10000,plain,3,11.000
10000,plain,4,11.000
10000,plain,5,11.000
10000,sketch,1,34.000
10000,sketch,2,9.000
10000,sketch,3,7.000
10000,sketch,4,8.000
10000,sketch,5,7.000
10000,cubit,1,52.000
10000,cubit,2,11.000
10000,cubit,3,12.000
10000,cubit,4,12.000
10000,cubit,5,12.000
10000,rabit,1,42.000
10000,rabit,2,9.000
10000,rabit,3,10.000
10000,rabit,4,9.000
10000,rabit,5,10.000
100000,plain,1,13.000
100000,plain,2,10.000
100000,plain,3,10.000
100000,plain,4,11.000
100000,plain,5,11.000
100000,sketch,1,23.000
100000,sketch,2,7.000
100000,sketch,3,8.000
100000,sketch,4,7.000
100000,sketch,5,8.000
100000,cubit,1,27.000
100000,cubit,2,11.000
100000,cubit,3,10.000
100000,cubit,4,11.000
100000,cubit,5,10.000
100000,rabit,1,49.000
100000,rabit,2,11.000
100000,rabit,3,9.000
100000,rabit,4,9.000
100000,rabit,5,9.000
