distribution,method,run,time_ms
uniform,plain,1,14.000
uniform,plain,2,11.000
uniform,plain,3,11.000
uniform,plain,4,10.000
uniform,plain,5,10.000
uniform,sketch,1,37.000
uniform,sketch,2,7.000
uniform,sketch,3,7.000
uniform,sketch,4,7.000
uniform,sketch,5,7.000
uniform,cubit,1,40.000
uniform,cubit,2,11.000
uniform,cubit,3,10.000
uniform,cubit,4,11.000
uniform,cubit,5,11.000
uniform,rabit,1,40.000
uniform,rabit,2,10.000
uniform,rabit,3,9.000
uniform,rabit,4,9.000
uniform,rabit,5,10.000
skewed,plain,1,13.000
skewed,plain,2,11.000
skewed,plain,3,12.000
skewed,plain,4,11.000
skewed,plain,5,11.000
skewed,sketch,1,27.000
skewed,sketch,2,8.000
skewed,sketch,3,8.000
skewed,sketch,4,8.000
skewed,sketch,5,7.000
skewed,cubit,1,28.000
skewed,cubit,2,11.000
skewed,cubit,3,11.000
skewed,cubit,4,11.000
skewed,cubit,5,11.000
skewed,rabit,1,40.000
skewed,rabit,2,9.000
skewed,rabit,3,10.000
skewed,rabit,4,10.000
skewed,rabit,5,9.000
clustered,plain,1,2.000
clustered,plain,2,2.000
clustered,plain,3,1.000
clustered,plain,4,2.000
clustered,plain,5,1.000
clustered,sketch,1,6.000
clustered,sketch,2,1.000
clustered,sketch,3,1.000
clustered,sketch,4,1.000
clustered,sketch,5,1.000
clustered,cubit,1,5.000
clustered,cubit,2,2.000
clustered,cubit,3,1.000
clustered,cubit,4,1.000
clustered,cubit,5,1.000
clustered,rabit,1,6.000
clustered,rabit,2,1.000
clustered,rabit,3,1.000
clustered,rabit,4,1.000
clustered,rabit,5,1.000
