column,selectivity,threshold,method,run,time_ms
l_discount,9.09%,0.01,plain,1,122.000
l_discount,9.09%,0.01,plain,2,106.000
l_discount,9.09%,0.01,plain,3,110.000
l_discount,9.09%,0.01,plain,4,110.000
l_discount,9.09%,0.01,plain,5,114.000
l_discount,27.3%,0.03,plain,1,111.000
l_discount,27.3%,0.03,plain,2,111.000
l_discount,27.3%,0.03,plain,3,109.000
l_discount,27.3%,0.03,plain,4,108.000
l_discount,27.3%,0.03,plain,5,111.000
l_discount,45.5%,0.05,plain,1,118.000
l_discount,45.5%,0.05,plain,2,114.000
l_discount,45.5%,0.05,plain,3,107.000
l_discount,45.5%,0.05,plain,4,110.000
l_discount,45.5%,0.05,plain,5,107.000
l_discount,63.6%,0.07,plain,1,107.000
l_discount,63.6%,0.07,plain,2,111.000
l_discount,63.6%,0.07,plain,3,106.000
l_discount,63.6%,0.07,plain,4,123.000
l_discount,63.6%,0.07,plain,5,114.000
l_discount,81.8%,0.09,plain,1,113.000
l_discount,81.8%,0.09,plain,2,110.000
l_discount,81.8%,0.09,plain,3,116.000
l_discount,81.8%,0.09,plain,4,116.000
l_discount,81.8%,0.09,plain,5,107.000
l_discount,9.09%,0.01,sketch,1,117.000
l_discount,9.09%,0.01,sketch,2,111.000
l_discount,9.09%,0.01,sketch,3,113.000
l_discount,9.09%,0.01,sketch,4,127.000
l_discount,9.09%,0.01,sketch,5,132.000
l_discount,27.3%,0.03,sketch,1,134.000
l_discount,27.3%,0.03,sketch,2,129.000
l_discount,27.3%,0.03,sketch,3,113.000
l_discount,27.3%,0.03,sketch,4,112.000
l_discount,27.3%,0.03,sketch,5,110.000
l_discount,45.5%,0.05,sketch,1,112.000
l_discount,45.5%,0.05,sketch,2,111.000
l_discount,45.5%,0.05,sketch,3,111.000
l_discount,45.5%,0.05,sketch,4,110.000
l_discount,45.5%,0.05,sketch,5,112.000
l_discount,63.6%,0.07,sketch,1,111.000
l_discount,63.6%,0.07,sketch,2,114.000
l_discount,63.6%,0.07,sketch,3,112.000
l_discount,63.6%,0.07,sketch,4,109.000
l_discount,63.6%,0.07,sketch,5,111.000
l_discount,81.8%,0.09,sketch,1,110.000
l_discount,81.8%,0.09,sketch,2,110.000
l_discount,81.8%,0.09,sketch,3,111.000
l_discount,81.8%,0.09,sketch,4,111.000
l_discount,81.8%,0.09,sketch,5,118.000
l_discount,9.09%,0.01,cubit,1,131.000
l_discount,9.09%,0.01,cubit,2,116.000
l_discount,9.09%,0.01,cubit,3,116.000
l_discount,9.09%,0.01,cubit,4,120.000
l_discount,9.09%,0.01,cubit,5,115.000
l_discount,27.3%,0.03,cubit,1,138.000
l_discount,27.3%,0.03,cubit,2,108.000
l_discount,27.3%,0.03,cubit,3,151.000
l_discount,27.3%,0.03,cubit,4,152.000
l_discount,27.3%,0.03,cubit,5,148.000
l_discount,45.5%,0.05,cubit,1,141.000
l_discount,45.5%,0.05,cubit,2,139.000
l_discount,45.5%,0.05,cubit,3,152.000
l_discount,45.5%,0.05,cubit,4,145.000
l_discount,45.5%,0.05,cubit,5,113.000
l_discount,63.6%,0.07,cubit,1,138.000
l_discount,63.6%,0.07,cubit,2,135.000
l_discount,63.6%,0.07,cubit,3,157.000
l_discount,63.6%,0.07,cubit,4,146.000
l_discount,63.6%,0.07,cubit,5,119.000
l_discount,81.8%,0.09,cubit,1,127.000
l_discount,81.8%,0.09,cubit,2,114.000
l_discount,81.8%,0.09,cubit,3,109.000
l_discount,81.8%,0.09,cubit,4,144.000
l_discount,81.8%,0.09,cubit,5,154.000
l_discount,9.09%,0.01,rabit,1,137.000
l_discount,9.09%,0.01,rabit,2,118.000
l_discount,9.09%,0.01,rabit,3,119.000
l_discount,9.09%,0.01,rabit,4,120.000
l_discount,9.09%,0.01,rabit,5,111.000
l_discount,27.3%,0.03,rabit,1,118.000
l_discount,27.3%,0.03,rabit,2,118.000
l_discount,27.3%,0.03,rabit,3,118.000
l_discount,27.3%,0.03,rabit,4,129.000
l_discount,27.3%,0.03,rabit,5,123.000
l_discount,45.5%,0.05,rabit,1,120.000
l_discount,45.5%,0.05,rabit,2,111.000
l_discount,45.5%,0.05,rabit,3,110.000
l_discount,45.5%,0.05,rabit,4,110.000
l_discount,45.5%,0.05,rabit,5,110.000
l_discount,63.6%,0.07,rabit,1,112.000
l_discount,63.6%,0.07,rabit,2,111.000
l_discount,63.6%,0.07,rabit,3,110.000
l_discount,63.6%,0.07,rabit,4,128.000
l_discount,63.6%,0.07,rabit,5,109.000
l_discount,81.8%,0.09,rabit,1,115.000
l_discount,81.8%,0.09,rabit,2,124.000
l_discount,81.8%,0.09,rabit,3,120.000
l_discount,81.8%,0.09,rabit,4,132.000
l_discount,81.8%,0.09,rabit,5,123.000
l_extendedprice,12.9%,10000,plain,1,128.000
l_extendedprice,12.9%,10000,plain,2,108.000
l_extendedprice,12.9%,10000,plain,3,108.000
l_extendedprice,12.9%,10000,plain,4,108.000
l_extendedprice,12.9%,10000,plain,5,108.000
l_extendedprice,33.7%,25000,plain,1,120.000
l_extendedprice,33.7%,25000,plain,2,112.000
l_extendedprice,33.7%,25000,plain,3,108.000
l_extendedprice,33.7%,25000,plain,4,110.000
l_extendedprice,33.7%,25000,plain,5,110.000
l_extendedprice,68.4%,55000,plain,1,112.000
l_extendedprice,68.4%,55000,plain,2,111.000
l_extendedprice,68.4%,55000,plain,3,111.000
l_extendedprice,68.4%,55000,plain,4,110.000
l_extendedprice,68.4%,55000,plain,5,109.000
l_extendedprice,92.6%,90000,plain,1,112.000
l_extendedprice,92.6%,90000,plain,2,110.000
l_extendedprice,92.6%,90000,plain,3,109.000
l_extendedprice,92.6%,90000,plain,4,112.000
l_extendedprice,92.6%,90000,plain,5,109.000
l_extendedprice,99.9%,150000,plain,1,4.000
l_extendedprice,99.9%,150000,plain,2,5.000
l_extendedprice,99.9%,150000,plain,3,3.000
l_extendedprice,99.9%,150000,plain,4,4.000
l_extendedprice,99.9%,150000,plain,5,3.000
l_extendedprice,12.9%,10000,sketch,1,158.000
l_extendedprice,12.9%,10000,sketch,2,107.000
l_extendedprice,12.9%,10000,sketch,3,109.000
l_extendedprice,12.9%,10000,sketch,4,111.000
l_extendedprice,12.9%,10000,sketch,5,114.000
l_extendedprice,33.7%,25000,sketch,1,111.000
l_extendedprice,33.7%,25000,sketch,2,110.000
l_extendedprice,33.7%,25000,sketch,3,110.000
l_extendedprice,33.7%,25000,sketch,4,108.000
l_extendedprice,33.7%,25000,sketch,5,109.000
l_extendedprice,68.4%,55000,sketch,1,109.000
l_extendedprice,68.4%,55000,sketch,2,110.000
l_extendedprice,68.4%,55000,sketch,3,110.000
l_extendedprice,68.4%,55000,sketch,4,109.000
l_extendedprice,68.4%,55000,sketch,5,108.000
